Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2017-1-1,0,77,11472,11472,11549,77
2017-1-2,1,79,11481,9,11,2
2017-1-3,1,84,11495,14,19,5
2017-1-4,1,82,11517,22,20,-2
2017-1-5,1,75,11544,27,20,-7
2017-1-6,1,81,11574,30,36,6
2017-1-7,1,64,11626,52,35,-17
2017-1-8,1,70,11635,9,15,6
2017-1-9,2,75,11643,8,13,5
2017-1-10,2,91,11659,16,32,16
2017-1-11,2,77,11698,39,25,-14
2017-1-12,2,91,11715,17,31,14
2017-1-13,2,89,11738,23,21,-2
2017-1-14,2,87,11769,31,29,-2
2017-1-15,2,93,11772,3,9,6
2017-1-16,3,104,11773,1,12,11
2017-1-17,3,111,11778,5,12,7
2017-1-18,3,54,11853,75,18,-57
2017-1-19,3,52,11880,27,25,-2
2017-1-20,3,50,11902,22,20,-2
2017-1-21,3,55,11920,18,23,5
2017-1-22,3,56,11928,8,9,1
2017-1-23,4,58,11934,6,8,2
2017-1-24,4,70,11945,11,23,12
2017-1-25,4,73,11960,15,18,3
2017-1-26,4,85,11973,13,25,12
2017-1-27,4,102,11979,6,23,17
2017-1-28,4,110,11987,8,16,8
2017-1-29,4,111,11995,8,9,1
2017-1-30,5,112,11998,3,4,1
2017-1-31,5,110,12013,15,13,-2
2017-2-1,5,129,12015,2,21,19
2017-2-2,5,142,12018,3,16,13
2017-2-3,5,152,12020,2,12,10
2017-2-4,5,117,12070,50,15,-35
2017-2-5,5,125,12073,3,11,8
2017-2-6,6,132,12075,2,9,7
2017-2-7,6,121,12101,26,15,-11
2017-2-8,6,120,12123,22,21,-1
2017-2-9,6,127,12132,9,16,7
2017-2-10,6,92,12176,44,9,-35
2017-2-11,6,92,12200,24,24,0
2017-2-12,6,99,12200,0,7,7
2017-2-13,7,113,12200,0,14,14
2017-2-14,7,123,12213,13,23,10
2017-2-15,7,127,12225,12,16,4
2017-2-16,7,142,12240,15,30,15
2017-2-17,7,156,12245,5,19,14
2017-2-18,7,154,12267,22,20,-2
2017-2-19,7,156,12267,0,2,2
2017-2-20,8,157,12273,6,7,1
2017-2-21,8,176,12277,4,23,19
2017-2-22,8,173,12290,13,10,-3
2017-2-23,8,191,12300,10,28,18
