#,Date Opened,Month Opened,Author,Date Closed,Days Open
1,2012-10-11,2012-10,ajorkowski,2012-10-12,1
3,2012-10-17,2012-10,Diullei,2012-10-17,1
4,2012-10-17,2012-10,jmvrbanac,2012-10-18,1
6,2012-10-18,2012-10,CheCoxshall,2012-10-18,1
14,2012-10-24,2012-10,diegovilar,2012-10-24,1
15,2012-10-24,2012-10,diegovilar,2012-10-24,1
17,2012-10-25,2012-10,diegovilar,2012-10-25,1
19,2012-10-25,2012-10,niemyjski,2012-10-25,1
22,2012-10-26,2012-10,eNepper,2012-10-26,1
23,2012-10-26,2012-10,eNepper,2012-10-26,1
26,2012-10-29,2012-10,marcinnajder,2012-10-29,1
27,2012-10-29,2012-10,k33g,2012-10-29,1
28,2012-10-29,2012-10,apisarev,2012-10-29,1
29,2012-10-30,2012-10,eNepper,2012-10-31,2
30,2012-10-30,2012-10,davidberneda,2012-10-30,1
31,2012-10-30,2012-10,BreeeZe,2012-10-30,1
32,2012-10-30,2012-10,docgit,2012-10-30,1
34,2012-10-30,2012-10,ajorkowski,2012-10-30,1
39,2012-11-1,2012-11,jhandel,2012-11-1,1
41,2012-11-2,2012-11,docgit,2012-11-2,1
44,2012-11-2,2012-11,diegovilar,2012-11-2,1
46,2012-11-2,2012-11,pavelsavara,2012-11-2,1
47,2012-11-2,2012-11,noobiept,2012-11-2,1
49,2012-11-4,2012-11,jbaldwin,2012-11-4,1
50,2012-11-4,2012-11,jbaldwin,2012-11-4,1
54,2012-11-6,2012-11,docgit,2012-11-6,1
56,2012-11-7,2012-11,ryan-nauman,2012-11-20,14
59,2012-11-7,2012-11,diegovilar,2012-11-7,1
60,2012-11-7,2012-11,ajorkowski,2012-11-7,1
62,2012-11-8,2012-11,jstrachan,2012-11-8,1
65,2012-11-9,2012-11,jmvrbanac,2012-11-10,1
66,2012-11-9,2012-11,gregwebs,2012-11-11,3
67,2012-11-11,2012-11,diegovilar,2012-11-12,1
69,2012-11-12,2012-11,jmvrbanac,2012-11-12,1
71,2012-11-12,2012-11,noobiept,2012-11-12,1
74,2012-11-14,2012-11,seanhess,2012-11-14,1
75,2012-11-14,2012-11,pavelsavara,2012-11-14,1
76,2012-11-15,2012-11,docgit,2012-11-15,1
78,2012-11-16,2012-11,sunetos,2012-11-16,1
80,2012-11-17,2012-11,oldrich-s,2012-11-17,1
81,2012-11-17,2012-11,jbaldwin,2012-11-17,1
82,2012-11-17,2012-11,noobiept,2012-11-17,1
90,2012-11-20,2012-11,shubhranshu,2012-11-20,1
91,2012-11-20,2012-11,diegovilar,2012-11-21,1
92,2012-11-21,2012-11,guyellis,2012-11-22,1
93,2012-11-21,2012-11,matthewkimber,2012-11-22,1
94,2012-11-22,2012-11,bbss,2012-11-23,1
97,2012-11-25,2012-11,damianog,2012-11-25,1
99,2012-11-27,2012-11,damianog,2012-11-28,1
100,2012-11-27,2012-11,RoyGoode,2012-11-27,1
101,2012-11-27,2012-11,t0yv0,2012-11-27,1
102,2012-11-27,2012-11,BreeeZe,2012-11-27,1
103,2012-11-28,2012-11,worr,2012-12-2,4
104,2012-12-1,2012-12,BreeeZe,2012-12-1,1
105,2012-12-2,2012-12,worr,2012-12-2,1
107,2012-12-3,2012-12,codeBelt,2012-12-5,2
108,2012-12-4,2012-12,burlandm,2012-12-5,1
109,2012-12-5,2012-12,danludwig,2012-12-6,1
110,2012-12-6,2012-12,danludwig,2012-12-6,1
111,2012-12-6,2012-12,DazWilkin,2012-12-6,1
113,2012-12-7,2012-12,MrBigDog2U,2012-12-7,1
114,2012-12-7,2012-12,stuartthompson,2012-12-8,1
117,2012-12-9,2012-12,stuartthompson,2012-12-9,1
119,2012-12-10,2012-12,BreeeZe,2012-12-10,1
121,2012-12-11,2012-12,BreeeZe,2012-12-11,1
122,2012-12-11,2012-12,tkirda,2012-12-12,1
123,2012-12-12,2012-12,vladev,2012-12-12,1
126,2012-12-13,2012-12,BreeeZe,2012-12-13,1
128,2012-12-13,2012-12,DazWilkin,2012-12-13,1
129,2012-12-13,2012-12,BreeeZe,2012-12-13,1
131,2012-12-15,2012-12,BreeeZe,2012-12-15,1
132,2012-12-19,2012-12,jmvrbanac,2012-12-20,1
133,2012-12-20,2012-12,jamesmanning,2012-12-20,1
134,2012-12-21,2012-12,danludwig,2012-12-21,1
135,2012-12-21,2012-12,kimsk,2012-12-22,1
137,2012-12-24,2012-12,johnpapa,2012-12-24,1
138,2012-12-24,2012-12,jbaldwin,2013-1-6,13
140,2012-12-26,2012-12,damianog,2012-12-26,1
141,2012-12-26,2012-12,danludwig,2012-12-26,1
142,2012-12-27,2012-12,oklemencic,2012-12-30,4
144,2012-12-28,2012-12,JudahGabriel,2012-12-30,3
145,2012-12-28,2012-12,matthewkimber,2012-12-30,3
146,2012-12-30,2012-12,k00ni,2012-12-30,1
147,2012-12-30,2012-12,david-driscoll,2012-12-30,1
148,2012-12-30,2012-12,JakeH,2012-12-30,1
149,2013-1-1,2013-01,anwarjaved,2013-1-1,1
150,2013-1-1,2013-01,hansrwindhoff,2013-1-1,1
153,2013-1-2,2013-01,hansrwindhoff,2013-1-2,1
154,2013-1-2,2013-01,MrBigDog2U,2013-1-2,1
155,2013-1-2,2013-01,DerAlbertCom,2013-1-2,1
156,2013-1-4,2013-01,Steve-Fenton,2013-1-4,1
158,2013-1-4,2013-01,stuartthompson,2013-1-4,1
159,2013-1-4,2013-01,k00ni,2013-1-4,1
160,2013-1-4,2013-01,hansrwindhoff,2013-1-4,1
161,2013-1-6,2013-01,jbaldwin,2013-1-6,1
164,2013-1-7,2013-01,anwarjaved,2013-1-7,1
165,2013-1-8,2013-01,anwarjaved,2013-1-8,1
167,2013-1-8,2013-01,ianobermiller,2013-1-8,1
168,2013-1-9,2013-01,anwarjaved,2013-1-9,1
170,2013-1-9,2013-01,anwarjaved,2013-1-10,1
1,2012-10-11,2012-10,ajorkowski,2012-10-12,1
3,2012-10-17,2012-10,Diullei,2012-10-17,1
4,2012-10-17,2012-10,jmvrbanac,2012-10-18,1
6,2012-10-18,2012-10,CheCoxshall,2012-10-18,1
14,2012-10-24,2012-10,diegovilar,2012-10-24,1
15,2012-10-24,2012-10,diegovilar,2012-10-24,1
17,2012-10-25,2012-10,diegovilar,2012-10-25,1
19,2012-10-25,2012-10,niemyjski,2012-10-25,1
22,2012-10-26,2012-10,eNepper,2012-10-26,1
23,2012-10-26,2012-10,eNepper,2012-10-26,1
26,2012-10-29,2012-10,marcinnajder,2012-10-29,1
27,2012-10-29,2012-10,k33g,2012-10-29,1
28,2012-10-29,2012-10,apisarev,2012-10-29,1
29,2012-10-30,2012-10,eNepper,2012-10-31,2
30,2012-10-30,2012-10,davidberneda,2012-10-30,1
31,2012-10-30,2012-10,BreeeZe,2012-10-30,1
32,2012-10-30,2012-10,docgit,2012-10-30,1
34,2012-10-30,2012-10,ajorkowski,2012-10-30,1
39,2012-11-1,2012-11,jhandel,2012-11-1,1
41,2012-11-2,2012-11,docgit,2012-11-2,1
44,2012-11-2,2012-11,diegovilar,2012-11-2,1
46,2012-11-2,2012-11,pavelsavara,2012-11-2,1
47,2012-11-2,2012-11,noobiept,2012-11-2,1
49,2012-11-4,2012-11,jbaldwin,2012-11-4,1
50,2012-11-4,2012-11,jbaldwin,2012-11-4,1
54,2012-11-6,2012-11,docgit,2012-11-6,1
56,2012-11-7,2012-11,ryan-nauman,2012-11-20,14
59,2012-11-7,2012-11,diegovilar,2012-11-7,1
60,2012-11-7,2012-11,ajorkowski,2012-11-7,1
62,2012-11-8,2012-11,jstrachan,2012-11-8,1
65,2012-11-9,2012-11,jmvrbanac,2012-11-10,1
66,2012-11-9,2012-11,gregwebs,2012-11-11,3
67,2012-11-11,2012-11,diegovilar,2012-11-12,1
69,2012-11-12,2012-11,jmvrbanac,2012-11-12,1
71,2012-11-12,2012-11,noobiept,2012-11-12,1
74,2012-11-14,2012-11,seanhess,2012-11-14,1
75,2012-11-14,2012-11,pavelsavara,2012-11-14,1
76,2012-11-15,2012-11,docgit,2012-11-15,1
78,2012-11-16,2012-11,sunetos,2012-11-16,1
80,2012-11-17,2012-11,oldrich-s,2012-11-17,1
81,2012-11-17,2012-11,jbaldwin,2012-11-17,1
82,2012-11-17,2012-11,noobiept,2012-11-17,1
90,2012-11-20,2012-11,shubhranshu,2012-11-20,1
91,2012-11-20,2012-11,diegovilar,2012-11-21,1
92,2012-11-21,2012-11,guyellis,2012-11-22,1
93,2012-11-21,2012-11,matthewkimber,2012-11-22,1
94,2012-11-22,2012-11,bbss,2012-11-23,1
97,2012-11-25,2012-11,damianog,2012-11-25,1
99,2012-11-27,2012-11,damianog,2012-11-28,1
100,2012-11-27,2012-11,RoyGoode,2012-11-27,1
101,2012-11-27,2012-11,t0yv0,2012-11-27,1
